tävling,datum,typ,vikt,böj,bänk,mark,total,poäng,namn,förening,distrikt,kön,år,viktklass,elit
Allsvenskan BP,2008-05-18,BP,75.0,,160.0,,,114.01,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2008.0,83,False
Allsvenskan BP,2008-02-02,BP,75.4,,160.0,,,113.59,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2008.0,83,False
Elitserien BP,2007-10-07,BP,76.8,,170.0,,,119.19,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2007.0,83,False
Elitserien SL,2007-09-20,SL,77.45,200.0,172.5,182.5,555.0,386.92,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2007.0,83,False
Elitserien SL,2007-02-10,SL,78.2,200.0,182.5,190.0,572.5,397.0,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2007.0,83,False
Allsvenska SL,2009-11-08,SL,77.3,230.0,170.0,215.0,615.0,429.31,Asil Toma,Westbo AK,Sydöstra SDF,M,2009.0,83,False
Andralagsserien BP,2009-10-10,BP,77.8,,170.0,,,118.16,Asil Toma,Westbo AK,Sydöstra SDF,M,2009.0,83,False
Westbo KM,2009-06-27,SL,78.0,0.0,150.0,0.0,150.0,104.09,Asil Toma,Westbo AK,Sydöstra SDF,M,2009.0,83,False
Andralagsserien BP,2009-05-09,BP,78.0,,155.0,,,107.56,Asil Toma,Westbo AK,Sydöstra SDF,M,2009.0,83,False
Elitserien BP,2007-02-10,BP,74.5,,175.0,,,125.0,Asil Toma,Westbo AK,Sydöstra SDF,M,2007.0,83,False
Klassisk ranking SL,2012-01-30,KSL,94.0,215.0,160.0,230.0,605.0,378.15,Jonas  Forsmark,Ramdala IF,Sydsvenska SDF,M,2012.0,105,False
KM TK Trossö Kl. SL,2011-12-27,KSL,95.0,215.0,170.0,240.0,625.0,388.77,Jonas  Forsmark,Ramdala IF,Sydsvenska SDF,M,2011.0,105,False
Klassisk ranking BP 2011,2011-10-09,KBP,98.9,0.0,160.0,0.0,160.0,97.81,Jonas  Forsmark,Ramdala IF,Sydsvenska SDF,M,2011.0,105,False
Allsvenskan BP 2011,2011-05-08,BP,99.3,,170.0,,,103.75,Jonas  Forsmark,Ramdala IF,Sydsvenska SDF,M,2011.0,105,False
Allsvenskan SL 2011,2011-01-31,SL,101.8,225.0,165.0,270.0,660.0,398.88,Jonas  Forsmark,Ramdala IF,Sydsvenska SDF,M,2011.0,105,False
Elitserien SL,2009-11-16,SL,101.1,275.0,185.0,300.0,760.0,460.54,Jonas  Forsmark,Ramdala IF,Sydsvenska SDF,M,2009.0,105,False
Elitserien BP,2009-10-10,BP,101.6,,195.0,,,117.94,Jonas  Forsmark,Ramdala IF,Sydsvenska SDF,M,2009.0,105,False
Elitserien BP,2009-09-13,BP,101.78,,185.0,,,111.82,Jonas  Forsmark,Ramdala IF,Sydsvenska SDF,M,2009.0,105,False
Elitserien SL,2009-05-09,SL,98.5,250.0,195.0,270.0,715.0,437.83,Jonas  Forsmark,Ramdala IF,Sydsvenska SDF,M,2009.0,105,False
Elitserien BP,2009-01-24,BP,97.15,,190.0,,,117.03,Jonas  Forsmark,Ramdala IF,Sydsvenska SDF,M,2009.0,105,False
Allsvenskan SL,2008-11-08,SL,98.8,250.0,200.0,300.0,750.0,458.68,Jonas  Forsmark,Ramdala IF,Sydsvenska SDF,M,2008.0,105,False
Allsvenskan BP,2008-10-11,BP,99.6,,205.0,,,124.96,Jonas  Forsmark,Ramdala IF,Sydsvenska SDF,M,2008.0,105,False
Allsvenskan BP,2008-09-06,BP,99.1,,195.0,,,119.11,Jonas  Forsmark,Ramdala IF,Sydsvenska SDF,M,2008.0,105,False
Allsvenskan SL,2008-05-18,SL,96.5,250.0,200.0,275.0,725.0,447.84,Jonas  Forsmark,Ramdala IF,Sydsvenska SDF,M,2008.0,105,False
Allsvenskan SL,2008-02-09,SL,93.4,250.0,180.0,270.0,700.0,438.84,Jonas  Forsmark,Ramdala IF,Sydsvenska SDF,M,2008.0,105,False
Elitserien SL,2007-10-28,SL,91.5,240.0,170.0,260.0,670.0,424.2,Jonas  Forsmark,Ramdala IF,Sydsvenska SDF,M,2007.0,93,False
Elitserien BP,2007-10-14,BP,93.5,,185.0,,,115.92,Jonas  Forsmark,Ramdala IF,Sydsvenska SDF,M,2007.0,105,False
Elitserien BP,2007-10-13,BP,92.1,,180.0,,,113.6,Jonas  Forsmark,Ramdala IF,Sydsvenska SDF,M,2007.0,93,False
Elitserien SL,2007-09-08,SL,93.5,240.0,185.0,250.0,675.0,422.96,Jonas  Forsmark,Ramdala IF,Sydsvenska SDF,M,2007.0,105,False
Elitserien SL,2007-05-12,SL,95.45,265.0,190.0,280.0,735.0,456.0,Jonas  Forsmark,Ramdala IF,Sydsvenska SDF,M,2007.0,105,False
Elitserien BP,2007-02-10,BP,95.0,,190.0,,,118.0,Jonas  Forsmark,Ramdala IF,Sydsvenska SDF,M,2007.0,105,False
Enbart ranking herr BP klassisk,2020-09-12,KBP,80.15,0.0,130.0,0.0,130.0,88.65,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2020.0,83,False
Elitserien herr KL BP,2017-05-02,KBP,80.5,0.0,145.0,0.0,145.0,98.61,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2017.0,83,False
Enbart ranking KL BP herr,2017-03-13,KBP,81.0,0.0,145.0,0.0,145.0,98.23,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2017.0,83,False
u/j/v-SM Bänkpress (utrustning),2016-11-25,BP,80.6,,165.0,,,112.12,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2016.0,83,True
Elitserien BP,2016-09-24,BP,80.45,,150.0,,,102.04,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2016.0,83,False
Allsvenskan KL BP,2016-05-19,KBP,81.2,0.0,142.5,0.0,142.5,96.39,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2016.0,83,False
U/J/V SM Bänkpress (utrustning),2015-11-28,BP,80.5,,182.5,,,124.11,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2015.0,83,True
Elitserien KL BP,2015-09-28,KBP,80.3,0.0,145.0,0.0,145.0,98.76,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2015.0,83,False
Elitserien BP,2015-05-10,BP,81.75,,140.0,,,94.31,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2015.0,83,False
Allsvenskan BP,2014-09-28,BP,80.25,,187.5,,,127.76,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2014.0,83,False
Enbart ranking KL BP herr,2014-05-18,KBP,80.4,0.0,145.0,0.0,145.0,98.68,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2014.0,83,False
Enbart ranking KL BP herr,2014-02-02,KBP,79.4,0.0,142.5,0.0,142.5,97.75,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2014.0,83,False
DM BP Sydsvenska,2013-09-21,BP,79.5,,142.5,,,97.67,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2013.0,83,False
Klassisk ranking SL,2012-05-17,KSL,76.7,140.0,130.0,150.0,420.0,294.72,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2012.0,83,False
Klassisk ranking SL,2012-01-30,KSL,75.5,150.0,127.5,165.0,442.5,313.86,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2012.0,83,False
KM TK Trossö Kl. SL,2011-12-27,KSL,75.95,145.0,122.5,170.0,437.5,309.05,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2011.0,83,False
Allsvenskan SL 2011,2011-11-12,SL,73.5,185.0,165.0,195.0,545.0,393.93,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2011.0,74,False
Enbart ranking BP 2011,2011-10-09,BP,74.0,,150.0,,,107.9,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2011.0,83,False
Allsvenskan BP 2011,2011-09-17,BP,73.96,,135.0,,,97.14,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2011.0,74,False
SM Klassisk SL,2011-08-20,KSL,73.55,157.5,135.0,195.0,487.5,352.19,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2011.0,74,True
RM Klassisk BP,2011-08-19,KBP,73.35,0.0,140.0,0.0,140.0,101.34,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2011.0,74,False
DM Sydsvenska SDF,2011-05-28,KSL,73.5,160.0,132.5,197.5,490.0,354.17,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2011.0,74,False
Allsvenskan BP 2011,2011-05-08,BP,73.9,,135.0,,,97.2,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2011.0,74,False
Klassisk ranking BP 2011,2011-01-31,KBP,76.0,0.0,132.5,0.0,132.5,93.56,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2011.0,83,False
Klassisk ranking SL 2011,2011-01-30,KSL,76.0,145.0,132.5,180.0,457.5,323.03,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2011.0,83,False
Elitserien BP 2010,2010-10-10,BP,76.9,,140.0,,,98.07,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2010.0,83,False
Elitserien SL 2010,2010-09-04,SL,77.55,215.0,160.0,195.0,570.0,397.04,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2010.0,83,False
Elitserien SL 2010,2010-05-01,SL,74.45,210.0,165.0,200.0,575.0,411.84,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2010.0,83,False
Elitserien BP 2010,2010-01-23,BP,75.5,,167.5,,,118.81,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2010.0,83,False
SM Bänkpress,2009-11-28,BP,74.25,,170.0,,,121.99,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2009.0,83,True
Elitserien SL,2009-11-16,SL,74.2,222.5,175.0,212.5,610.0,437.94,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2009.0,83,False
Elitserien BP,2009-10-10,BP,74.2,,165.0,,,118.46,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2009.0,83,False
Elitserien SL,2009-09-13,SL,74.67,190.0,160.0,210.0,560.0,400.26,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2009.0,83,False
Elitserien SL,2009-05-09,SL,80.15,220.0,197.5,210.0,627.5,427.89,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2009.0,83,False
Elitserien BP,2009-01-24,BP,81.65,,182.5,,,123.03,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2009.0,83,False
Allsvenskan SL,2008-11-08,SL,81.05,175.0,167.5,175.0,517.5,350.43,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2008.0,83,False
Allsvenskan BP,2008-10-11,BP,80.9,,177.5,,,120.33,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2008.0,83,False
Allsvenskan BP,2008-09-06,BP,80.2,,185.0,,,126.1,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2008.0,83,False
Allsvenskan SL,2008-05-18,SL,82.4,225.0,175.0,210.0,610.0,408.94,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2008.0,83,False
Allsvenskan BP,2008-02-09,BP,82.08,,200.0,,,134.39,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2008.0,83,False
Göteborg Cup SL,2008-02-01,SL,82.3,215.0,192.5,225.0,632.5,424.33,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2008.0,83,False
Elitserien SL,2007-10-28,SL,81.65,225.0,180.0,215.0,620.0,417.95,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2007.0,83,False
Elitserien BP,2007-10-13,BP,82.0,,175.0,,,117.66,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2007.0,83,False
Elitserien BP,2007-09-08,BP,80.25,,177.5,,,120.94,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2007.0,83,False
Elitserien SL,2007-05-12,SL,82.1,230.0,182.5,207.5,620.0,417.0,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2007.0,83,False
Elitserien SL,2007-02-04,SL,81.65,230.0,150.0,200.0,580.0,391.0,Jonas  Andersson,Växjö AK,Sydöstra SDF,M,2007.0,83,False
Klassisk serie BP mitt,2012-05-25,KBP,105.0,0.0,140.0,0.0,140.0,83.66,Jonas  Andersson,Extreme Power Team,Östra Svealands SDF,M,2012.0,120,False
Klassisk serie SL mitt,2012-05-20,KSL,105.0,210.0,140.0,215.0,565.0,337.62,Jonas  Andersson,Extreme Power Team,Östra Svealands SDF,M,2012.0,120,False
Allsvenskan SL,2008-02-10,SL,88.55,140.0,120.0,190.0,450.0,289.7,Bessim Xhafa,Ramdala IF,Sydsvenska SDF,M,2008.0,93,False
Lag-SM 2015 - klassisk bänkpress,2015-12-04,KBP,54.35,0.0,60.0,0.0,60.0,72.27,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2015.0,57,True
Elitserien dam KL BP,2015-09-20,KBP,57.0,0.0,80.0,0.0,80.0,92.83,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2015.0,63,False
Elitserien dam KL BP,2015-05-09,KBP,61.95,0.0,85.0,0.0,85.0,92.46,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2015.0,63,False
Elitserien dam KL BP,2015-02-07,KBP,62.6,0.0,85.0,0.0,85.0,91.73,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2015.0,63,False
Veteranserien BP,2014-09-21,BP,61.65,,85.0,,,92.8,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2014.0,63,False
DM i bänkpress (klassisk) Östra Svealands SDF,2014-09-20,KBP,61.65,0.0,85.0,0.0,85.0,92.8,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2014.0,63,False
Allsvenskan dam KL BP,2014-05-18,KBP,61.05,0.0,85.0,0.0,85.0,93.5,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2014.0,63,False
SM Bänkpress U/J/V 2013,2013-11-23,BP,61.65,,123.0,,,134.29,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2013.0,63,True
DM BP Östra Svealand,2013-09-28,BP,61.9,,120.0,,,130.61,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2013.0,63,False
Veteranserien div 2 BP,2013-01-26,BP,61.7,,105.0,,,114.57,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2013.0,63,False
Klassisk ranking BP,2012-10-21,KBP,67.4,0.0,95.0,0.0,95.0,97.06,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2012.0,69,False
DM KLBP Östra Svealand,2012-10-20,KBP,67.6,0.0,95.0,0.0,95.0,96.86,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2012.0,69,False
Klassisk ranking BP,2012-09-01,KBP,68.68,0.0,95.0,0.0,95.0,95.77,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2012.0,69,False
EM Bänkpress,2010-08-12,BP,60.9,,122.5,,,135.01,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2010.0,63,True
VM Bänkpress U/J/S,2010-05-27,BP,61.1,,125.0,,,137.42,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2010.0,63,True
Damserien BP 2010,2010-04-24,BP,59.55,,120.0,,,134.57,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2010.0,63,False
Allsvenskan BP 2010,2010-01-29,BP,58.65,,110.0,,,124.83,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2010.0,63,False
SM Bänkpress,2009-11-28,BP,60.5,,130.0,,,144.01,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2009.0,63,True
Veteransserien BP,2009-10-18,BP,62.55,,120.0,,,129.58,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2009.0,63,False
Elitserien BP,2009-09-05,BP,61.45,,120.0,,,131.35,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2009.0,63,False
EM Bänkpress,2009-08-06,BP,63.3,,142.5,,,152.49,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2009.0,69,True
VM-Bänkpress,2009-05-28,BP,64.69,,132.5,,,139.5,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2009.0,69,True
Veteransserien BP,2009-05-07,BP,64.1,,130.0,,,137.81,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2009.0,69,False
Damserien BP,2009-01-30,BP,64.85,,142.5,,,149.75,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2009.0,69,False
BP SM,2008-11-15,BP,65.95,,140.0,,,145.31,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2008.0,69,True
Veteranserien BP,2008-10-12,BP,65.1,,120.0,,,125.75,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2008.0,69,False
Damserien BP,2008-09-05,BP,64.8,,137.5,,,144.58,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2008.0,69,False
EM BP,2008-08-07,BP,64.2,,132.5,,,140.29,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2008.0,69,True
Allsvenskan BP,2008-05-12,BP,62.8,,132.5,,,142.64,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2008.0,63,False
Elitserien BP,2007-12-16,BP,60.0,,115.0,,,128.21,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2007.0,63,False
Damserien BP,2007-12-15,BP,60.3,,125.0,,,138.82,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2007.0,63,False
Elitserien BP,2007-04-15,BP,60.3,,125.0,,,139.0,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2007.0,63,False
Elitserien BP,2007-02-10,BP,58.35,,112.5,,,128.0,Anna Maria Nöglegaard,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2007.0,63,False
Enbart ranking dam BP klassisk,2021-12-09,KBP,84.65,0.0,60.0,0.0,60.0,53.3,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2021.0,85,False
Enbart ranking dam BP klassisk,2021-09-18,KBP,87.1,0.0,62.5,0.0,62.5,54.78,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2021.0,85,False
Div 1 dam BP klassisk,2020-09-19,KBP,87.9,0.0,65.0,0.0,65.0,56.74,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2020.0,85,False
Veteranserien dam KL BP,2019-11-16,KBP,87.45,0.0,65.0,0.0,65.0,56.87,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2019.0,85,False
Veteranserien herr KL BP,2019-05-05,KBP,83.05,0.0,65.0,0.0,65.0,58.3,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2019.0,84,False
Veteranserien dam KL BP,2019-02-17,KBP,84.6,0.0,65.0,0.0,65.0,57.76,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2019.0,85,False
Veteranserien dam KL BP,2018-11-10,KBP,83.55,0.0,65.0,0.0,65.0,58.12,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2018.0,84,False
Veteranserien dam KL BP,2018-09-08,KBP,83.4,0.0,65.0,0.0,65.0,58.17,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2018.0,84,False
Veteranserien dam KL BP,2018-05-14,KBP,83.3,0.0,70.0,0.0,70.0,62.69,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2018.0,84,False
u/j/v-SM Klassisk bänkpress 2018,2018-05-01,KBP,85.8,0.0,70.0,0.0,70.0,61.78,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2018.0,85,True
Elitserien dam KL BP,2018-02-24,KBP,86.8,0.0,70.0,0.0,70.0,61.45,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2018.0,85,False
Elitserien dam KL BP,2017-09-16,KBP,88.6,0.0,70.0,0.0,70.0,60.89,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2017.0,85,False
Elitserien dam KL BP,2017-05-02,KBP,88.55,0.0,70.5,0.0,70.5,61.34,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2017.0,85,False
Elitserien dam KL BP,2017-03-04,KBP,89.0,0.0,72.5,0.0,72.5,62.94,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2017.0,85,False
Elitserien dam KL BP,2016-09-18,KBP,84.0,0.0,70.0,0.0,70.0,62.42,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2016.0,85,False
Elitserien dam KL BP,2016-05-15,KBP,83.95,0.0,70.0,0.0,70.0,62.44,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2016.0,84,False
Elitserien dam KL BP,2016-02-06,KBP,88.5,0.0,67.5,0.0,67.5,58.74,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2016.0,85,False
Elitserien dam KL BP,2015-02-07,KBP,89.3,0.0,70.0,0.0,70.0,60.68,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2015.0,85,False
Allsvenskan dam KL BP,2014-09-21,KBP,86.7,0.0,70.0,0.0,70.0,61.48,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2014.0,85,False
Allsvenskan dam KL BP,2014-05-18,KBP,84.5,0.0,72.5,0.0,72.5,64.46,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2014.0,85,False
Veteranserien BP,2014-01-25,BP,85.05,,87.5,,,77.55,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2014.0,85,False
SM Bänkpress U/J/V 2013,2013-11-23,BP,86.55,,100.0,,,87.9,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2013.0,85,True
Enbart ranking klassisk BP,2013-09-28,KBP,86.65,0.0,70.0,0.0,70.0,61.5,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2013.0,85,False
Enbart ranking klassisk BP,2013-05-12,KBP,82.75,0.0,70.0,0.0,70.0,62.9,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2013.0,84,False
Damserien BP,2013-01-26,BP,84.25,,87.5,,,77.91,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2013.0,85,False
SM Bänkpress,2012-11-23,BP,85.4,,90.0,,,79.61,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2012.0,85,True
Enbart ranking BP,2012-05-20,BP,84.8,,95.0,,,84.32,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2012.0,85,False
Veteranserien Div 2 BP,2012-01-27,BP,88.6,,92.5,,,80.46,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2012.0,85,False
Veteranserien BP 2011,2011-05-08,BP,82.75,,80.0,,,71.88,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2011.0,84,False
Damserien BP 2011,2011-01-29,BP,89.1,,95.0,,,82.43,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2011.0,85,False
SM Bänkpress 2010,2010-11-27,BP,88.3,,95.0,,,82.76,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2010.0,85,True
Damserien BP 2010,2010-09-04,BP,87.35,,90.0,,,78.78,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2010.0,85,False
SM Bänkpress,2009-11-28,BP,81.75,,87.5,,,79.13,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2009.0,84,True
Damserien BP,2009-10-18,BP,82.45,,85.0,,,76.52,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2009.0,84,False
Damserien BP,2009-09-05,BP,81.1,,87.5,,,79.47,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2009.0,84,False
Veteransserien BP,2009-05-10,BP,83.7,,92.5,,,82.63,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2009.0,84,False
Damserien BP,2009-01-30,BP,84.25,,95.0,,,84.59,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2009.0,85,False
BP SM,2008-11-15,BP,83.45,,92.5,,,82.76,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2008.0,84,True
Veteranserien BP,2008-10-12,BP,83.8,,90.0,,,80.35,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2008.0,84,False
Damserien BP,2008-09-05,BP,83.3,,87.5,,,78.36,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2008.0,84,False
Damserien BP,2008-05-12,BP,81.2,,85.0,,,77.14,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2008.0,84,False
Enbart ranking,2008-05-10,SL,81.2,0.0,85.0,0.0,85.0,77.14,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2008.0,84,False
Veteranserien BP,2008-02-09,BP,84.3,,82.5,,,73.44,Maria Jensen,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2008.0,85,False
VM bänkpress Open,2019-05-25,BP,117.98,,305.0,,,176.06,Per Nilsson,Sundbybergs TK,Östra Svealands SDF,M,2019.0,120,True
VM Bänkpress 2018,2018-04-22,BP,118.85,,347.5,,,200.24,Per Nilsson,Sundbybergs TK,Östra Svealands SDF,M,2018.0,120,True
VM Bänkpress 2017,2017-05-27,BP,118.3,,332.5,,,191.81,Per Nilsson,Sundbybergs TK,Östra Svealands SDF,M,2017.0,120,True
SM-veckan Söderhamn 2017 (Bänkpress),2017-02-05,BP,119.15,,305.0,,,175.64,Per Nilsson,Sundbybergs TK,Östra Svealands SDF,M,2017.0,120,True
Lag-SM 2016 - Bänkpress,2016-12-02,BP,118.7,,280.0,,,161.39,Per Nilsson,Sundbybergs TK,Östra Svealands SDF,M,2016.0,120,True
Elitserien SL,2016-11-12,SL,119.3,297.5,270.0,230.0,797.5,459.13,Per Nilsson,Sundbybergs TK,Östra Svealands SDF,M,2016.0,120,False
